timestamp,BTC: Entity-Adjusted STH Realized Profit,timestamp,BTC: Price,timestamp,BTC: Entity-Adjusted STH Realized Loss,timestamp,BTC: Entity-Adjusted STH Realized Loss [Reversed Z-Score],timestamp,BTC: Entity-Adjusted STH Realized Profit [Z-Score],timestamp,Z-Score = 2,timestamp,Z-Score = 0,timestamp,Z-Score = -2,timestamp,High Risk,timestamp,High Risk,timestamp,Very Low Risk,timestamp,---,timestamp,Very High Risk
2009-03-02T00:00:00.000Z,0,,,2009-03-02T00:00:00.000Z,0,,,,,2009-03-02T00:00:00.000Z,2,2009-03-02T00:00:00.000Z,0,2009-03-02T00:00:00.000Z,-2,,,,,,,2009-03-02T00:00:00.000Z,1,,
2009-03-03T00:00:00.000Z,0,,,2009-03-03T00:00:00.000Z,0,,,,,2009-03-03T00:00:00.000Z,2,2009-03-03T00:00:00.000Z,0,2009-03-03T00:00:00.000Z,-2,,,,,,,2009-03-03T00:00:00.000Z,1,,
2009-03-04T00:00:00.000Z,1.66533408615208e-14,,,2009-03-04T00:00:00.000Z,0,,,,,2009-03-04T00:00:00.000Z,2,2009-03-04T00:00:00.000Z,0,2009-03-04T00:00:00.000Z,-2,,,,,,,2009-03-04T00:00:00.000Z,1,,
2009-03-05T00:00:00.000Z,5.55111382287496e-15,,,2009-03-05T00:00:00.000Z,0,,,,,2009-03-05T00:00:00.000Z,2,2009-03-05T00:00:00.000Z,0,2009-03-05T00:00:00.000Z,-2,,,,,,,2009-03-05T00:00:00.000Z,1,,
2009-03-06T00:00:00.000Z,0,,,2009-03-06T00:00:00.000Z,0,,,,,2009-03-06T00:00:00.000Z,2,2009-03-06T00:00:00.000Z,0,2009-03-06T00:00:00.000Z,-2,,,,,,,2009-03-06T00:00:00.000Z,1,,
2009-03-07T00:00:00.000Z,0,,,2009-03-07T00:00:00.000Z,0,,,,,2009-03-07T00:00:00.000Z,2,2009-03-07T00:00:00.000Z,0,2009-03-07T00:00:00.000Z,-2,,,,,,,2009-03-07T00:00:00.000Z,1,,
2009-03-08T00:00:00.000Z,0,,,2009-03-08T00:00:00.000Z,8.32667061849832e-15,,,,,2009-03-08T00:00:00.000Z,2,2009-03-08T00:00:00.000Z,0,2009-03-08T00:00:00.000Z,-2,,,,,,,2009-03-08T00:00:00.000Z,1,,
2009-03-09T00:00:00.000Z,0,,,2009-03-09T00:00:00.000Z,0,,,,,2009-03-09T00:00:00.000Z,2,2009-03-09T00:00:00.000Z,0,2009-03-09T00:00:00.000Z,-2,,,,,,,2009-03-09T00:00:00.000Z,1,,
2009-03-10T00:00:00.000Z,0,,,2009-03-10T00:00:00.000Z,0,,,,,2009-03-10T00:00:00.000Z,2,2009-03-10T00:00:00.000Z,0,2009-03-10T00:00:00.000Z,-2,,,,,,,2009-03-10T00:00:00.000Z,1,,
2009-03-11T00:00:00.000Z,0,,,2009-03-11T00:00:00.000Z,0,,,,,2009-03-11T00:00:00.000Z,2,2009-03-11T00:00:00.000Z,0,2009-03-11T00:00:00.000Z,-2,,,,,,,2009-03-11T00:00:00.000Z,1,,
2009-03-12T00:00:00.000Z,0,,,2009-03-12T00:00:00.000Z,0,,,,,2009-03-12T00:00:00.000Z,2,2009-03-12T00:00:00.000Z,0,2009-03-12T00:00:00.000Z,-2,,,,,,,2009-03-12T00:00:00.000Z,1,,
2009-03-13T00:00:00.000Z,0,,,2009-03-13T00:00:00.000Z,5.20416903228882e-15,,,,,2009-03-13T00:00:00.000Z,2,2009-03-13T00:00:00.000Z,0,2009-03-13T00:00:00.000Z,-2,,,,,,,2009-03-13T00:00:00.000Z,1,,
2009-03-14T00:00:00.000Z,0,,,2009-03-14T00:00:00.000Z,0,,,,,2009-03-14T00:00:00.000Z,2,2009-03-14T00:00:00.000Z,0,2009-03-14T00:00:00.000Z,-2,,,,,,,2009-03-14T00:00:00.000Z,1,,
2009-03-15T00:00:00.000Z,0,,,2009-03-15T00:00:00.000Z,0,,,,,2009-03-15T00:00:00.000Z,2,2009-03-15T00:00:00.000Z,0,2009-03-15T00:00:00.000Z,-2,,,,,,,2009-03-15T00:00:00.000Z,1,,
2009-03-16T00:00:00.000Z,0,,,2009-03-16T00:00:00.000Z,1.6653338485749e-14,,,,,2009-03-16T00:00:00.000Z,2,2009-03-16T00:00:00.000Z,0,2009-03-16T00:00:00.000Z,-2,,,,,,,2009-03-16T00:00:00.000Z,1,,
2009-03-17T00:00:00.000Z,0,,,2009-03-17T00:00:00.000Z,0,,,,,2009-03-17T00:00:00.000Z,2,2009-03-17T00:00:00.000Z,0,2009-03-17T00:00:00.000Z,-2,,,,,,,2009-03-17T00:00:00.000Z,1,,
2009-03-18T00:00:00.000Z,3.81639063357118e-15,,,2009-03-18T00:00:00.000Z,0,,,,,2009-03-18T00:00:00.000Z,2,2009-03-18T00:00:00.000Z,0,2009-03-18T00:00:00.000Z,-2,,,,,,,2009-03-18T00:00:00.000Z,1,,
2009-03-19T00:00:00.000Z,0,,,2009-03-19T00:00:00.000Z,0,,,,,2009-03-19T00:00:00.000Z,2,2009-03-19T00:00:00.000Z,0,2009-03-19T00:00:00.000Z,-2,,,,,,,2009-03-19T00:00:00.000Z,1,,
2009-03-20T00:00:00.000Z,0,,,2009-03-20T00:00:00.000Z,0,,,,,2009-03-20T00:00:00.000Z,2,2009-03-20T00:00:00.000Z,0,2009-03-20T00:00:00.000Z,-2,,,,,,,2009-03-20T00:00:00.000Z,1,,
2009-03-21T00:00:00.000Z,0,,,2009-03-21T00:00:00.000Z,0,,,,,2009-03-21T00:00:00.000Z,2,2009-03-21T00:00:00.000Z,0,2009-03-21T00:00:00.000Z,-2,,,,,,,2009-03-21T00:00:00.000Z,1,,
2009-03-22T00:00:00.000Z,2.08166762870201e-15,,,2009-03-22T00:00:00.000Z,0,,,,,2009-03-22T00:00:00.000Z,2,2009-03-22T00:00:00.000Z,0,2009-03-22T00:00:00.000Z,-2,,,,,,,2009-03-22T00:00:00.000Z,1,,
2009-03-23T00:00:00.000Z,0,,,2009-03-23T00:00:00.000Z,0,,,,,2009-03-23T00:00:00.000Z,2,2009-03-23T00:00:00.000Z,0,2009-03-23T00:00:00.000Z,-2,,,,,,,2009-03-23T00:00:00.000Z,1,,
2009-03-24T00:00:00.000Z,0,,,2009-03-24T00:00:00.000Z,0,,,,,2009-03-24T00:00:00.000Z,2,2009-03-24T00:00:00.000Z,0,2009-03-24T00:00:00.000Z,-2,,,,,,,2009-03-24T00:00:00.000Z,1,,
2009-03-25T00:00:00.000Z,0,,,2009-03-25T00:00:00.000Z,0,,,,,2009-03-25T00:00:00.000Z,2,2009-03-25T00:00:00.000Z,0,2009-03-25T00:00:00.000Z,-2,,,,,,,2009-03-25T00:00:00.000Z,1,,
