timestamp,BTC: Short-Term Holder Profit/Loss Ratio,timestamp,90% Profit / 10% Loss,timestamp,10% Profit / 90% Loss,timestamp,BTC: Price,timestamp,50% Profit / 50% Loss,timestamp,---,timestamp,Very High Risk,timestamp,High Risk,timestamp,Very Low Risk,timestamp,Low Risk
2009-02-14T00:00:00.000Z,,2009-02-14T00:00:00.000Z,9,2009-02-14T00:00:00.000Z,0.1111111111111111,,,2009-02-14T00:00:00.000Z,1,2009-02-14T00:00:00.000Z,1,,,,,,,,
2009-02-15T00:00:00.000Z,,2009-02-15T00:00:00.000Z,9,2009-02-15T00:00:00.000Z,0.1111111111111111,,,2009-02-15T00:00:00.000Z,1,2009-02-15T00:00:00.000Z,1,,,,,,,,
2009-02-16T00:00:00.000Z,,2009-02-16T00:00:00.000Z,9,2009-02-16T00:00:00.000Z,0.1111111111111111,,,2009-02-16T00:00:00.000Z,1,2009-02-16T00:00:00.000Z,1,,,,,,,,
2009-02-17T00:00:00.000Z,,2009-02-17T00:00:00.000Z,9,2009-02-17T00:00:00.000Z,0.1111111111111111,,,2009-02-17T00:00:00.000Z,1,2009-02-17T00:00:00.000Z,1,,,,,,,,
2009-02-18T00:00:00.000Z,,2009-02-18T00:00:00.000Z,9,2009-02-18T00:00:00.000Z,0.1111111111111111,,,2009-02-18T00:00:00.000Z,1,2009-02-18T00:00:00.000Z,1,,,,,,,,
2009-02-19T00:00:00.000Z,,2009-02-19T00:00:00.000Z,9,2009-02-19T00:00:00.000Z,0.1111111111111111,,,2009-02-19T00:00:00.000Z,1,2009-02-19T00:00:00.000Z,1,,,,,,,,
2009-02-20T00:00:00.000Z,,2009-02-20T00:00:00.000Z,9,2009-02-20T00:00:00.000Z,0.1111111111111111,,,2009-02-20T00:00:00.000Z,1,2009-02-20T00:00:00.000Z,1,,,,,,,,
2009-02-21T00:00:00.000Z,,2009-02-21T00:00:00.000Z,9,2009-02-21T00:00:00.000Z,0.1111111111111111,,,2009-02-21T00:00:00.000Z,1,2009-02-21T00:00:00.000Z,1,,,,,,,,
2009-02-22T00:00:00.000Z,,2009-02-22T00:00:00.000Z,9,2009-02-22T00:00:00.000Z,0.1111111111111111,,,2009-02-22T00:00:00.000Z,1,2009-02-22T00:00:00.000Z,1,,,,,,,,
2009-02-23T00:00:00.000Z,,2009-02-23T00:00:00.000Z,9,2009-02-23T00:00:00.000Z,0.1111111111111111,,,2009-02-23T00:00:00.000Z,1,2009-02-23T00:00:00.000Z,1,,,,,,,,
2009-02-24T00:00:00.000Z,,2009-02-24T00:00:00.000Z,9,2009-02-24T00:00:00.000Z,0.1111111111111111,,,2009-02-24T00:00:00.000Z,1,2009-02-24T00:00:00.000Z,1,,,,,,,,
2009-02-25T00:00:00.000Z,,2009-02-25T00:00:00.000Z,9,2009-02-25T00:00:00.000Z,0.1111111111111111,,,2009-02-25T00:00:00.000Z,1,2009-02-25T00:00:00.000Z,1,,,,,,,,
